room_number,building,floor,x_coord,y_coord
상상토의실,예지관,2,-40,-50
물리실험실3,예지관,4,-40,-50
물리실험실2,예지관,4,-40,-50
우암공통강의실1,우암관,4,-90,-90
화학강의실2,창의인재관,2,0,0
화학강의실1,창의인재관,2,0,0
생물강의실1,예지관,5,-50,-50
생물강의실1,예지관,5,-50,-50
생물강의실1,예지관,5,-50,-50
수학강의실2,우암관,5,-90,-90
수학강의실2,우암관,5,-90,-90
수학강의실5,우암관,5,-90,-90
수학강의실5,우암관,5,-90,-90
국어강의실3,우암관,6,-90,-90
국어강의실1,우암관,6,-90,-90
국어강의실1,우암관,6,-90,-90
외국어강의실1,융합인재관,3,10,30
외국어강의실4,융합인재관,4,10,30
정보과학강의실,창의인재관,1,0,0
정보과학강의실,창의인재관,1,0,0
컴퓨터2실,창의인재관,1,0,0
외국어강의실1,융합인재관,3,10,30
체육관,예지관,4,0,30
미술실,우암관,4,-100,-50
융합연구실,예지관,2,0,30
매점,의행관,2,-40,-70
기숙사,의행관,2,-30,-70
